stim,id,age,AUC_sal,AUC_dist
2,6,7823,0.64032,0.79411
3,6,7823,0.60472,0.59565
4,6,7823,0.64227,0.59861
6,6,7823,0.56013,0.62316
7,6,7823,0.61914,0.5031
2,7,8133,0.62346,0.63209
3,7,8133,0.52257,0.5529
4,7,8133,0.55195,0.5577
6,7,8133,0.59106,0.66709
7,7,8133,0.56098,0.56147
2,9,7142,0.60596,0.78926
3,9,7142,0.57212,0.63599
4,9,7142,0.54916,0.55142
6,9,7142,0.5852,0.61996
7,9,7142,0.54693,0.44795
2,10,9563,NaN,NaN
3,10,9563,NaN,NaN
4,10,9563,NaN,NaN
6,10,9563,NaN,NaN
7,10,9563,NaN,NaN
2,11,6824,0.67429,0.74502
3,11,6824,0.57394,0.6169
4,11,6824,0.63599,0.59383
6,11,6824,0.57593,0.62425
7,11,6824,0.59656,0.56964
2,12,6624,0.6132,0.72725
3,12,6624,0.58338,0.62947
4,12,6624,0.56033,0.55243
6,12,6624,0.57084,0.66108
7,12,6624,0.58904,0.56853
2,13,7657,0.60514,0.82377
3,13,7657,0.56607,0.68586
4,13,7657,0.58295,0.56134
6,13,7657,0.61754,0.68256
7,13,7657,0.5919,0.57708
2,14,6669,0.61155,0.78254
3,14,6669,0.60218,0.68015
4,14,6669,0.66191,0.60871
6,14,6669,0.59688,0.62512
7,14,6669,0.56583,0.5429
2,15,6691,0.60846,0.81758
3,15,6691,0.59776,0.61839
4,15,6691,0.57301,0.55188
6,15,6691,0.54142,0.53111
7,15,6691,0.54229,0.52939
2,16,6627,NaN,NaN
3,16,6627,NaN,NaN
4,16,6627,NaN,NaN
6,16,6627,NaN,NaN
7,16,6627,NaN,NaN
2,17,7084,0.62496,0.72357
3,17,7084,0.60089,0.53247
4,17,7084,0.5662,0.55871
6,17,7084,0.59333,0.58959
7,17,7084,0.57794,0.5717
2,18,6858,0.60142,0.73682
3,18,6858,0.54597,0.67221
4,18,6858,0.44292,0.35825
6,18,6858,0.56394,0.64063
7,18,6858,0.64937,0.58282
2,19,6957,0.6276,0.68839
3,19,6957,0.62487,0.68675
4,19,6957,0.66186,0.6836
6,19,6957,0.58303,0.57712
7,19,6957,0.60557,0.62049
2,20,8100,0.56833,0.58836
3,20,8100,0.59701,0.54541
4,20,8100,0.70479,0.74743
6,20,8100,0.49438,0.54979
7,20,8100,0.56466,0.52408
2,21,7960,0.59775,0.67616
3,21,7960,0.58215,0.62222
4,21,7960,0.51197,0.40271
6,21,7960,0.51027,0.4653
7,21,7960,0.52636,0.4874
2,22,6657,0.57731,0.65671
3,22,6657,0.54378,0.55858
4,22,6657,0.61776,0.53861
6,22,6657,0.52074,0.50734
7,22,6657,0.65874,0.52751
2,23,7402,0.5976,0.70923
3,23,7402,0.56272,0.60285
4,23,7402,0.53464,0.57832
6,23,7402,0.51353,0.57867
7,23,7402,0.60124,0.55262
2,24,6951,0.56725,0.55234
3,24,6951,0.57046,0.61536
4,24,6951,0.60357,0.61152
6,24,6951,0.63347,0.59712
7,24,6951,0.65072,0.63133
2,25,3082,0.608,0.66447
3,25,3082,0.55944,0.63858
4,25,3082,0.55912,0.51942
6,25,3082,0.54021,0.57068
7,25,3082,0.58512,0.5679
2,26,2049,0.60325,0.65031
3,26,2049,0.59609,0.67548
4,26,2049,0.53242,0.49684
6,26,2049,0.53843,0.54504
7,26,2049,0.54726,0.54643
2,27,3313,0.53278,0.59851
3,27,3313,0.56374,0.63786
4,27,3313,0.61146,0.58212
6,27,3313,0.59829,0.65576
7,27,3313,0.603,0.62032
2,28,1676,0.61806,0.71813
3,28,1676,0.54392,0.60526
4,28,1676,NaN,NaN
6,28,1676,0.59239,0.54859
7,28,1676,0.56522,0.50892
2,29,3345,0.62171,0.76617
3,29,3345,0.5718,0.64049
4,29,3345,0.49908,0.46844
6,29,3345,0.51397,0.52459
7,29,3345,0.54908,0.50482
2,30,3708,0.61031,0.57726
3,30,3708,0.5695,0.6334
4,30,3708,0.5601,0.53044
6,30,3708,0.58488,0.60753
7,30,3708,0.62213,0.56797
2,31,3325,0.58158,0.52831
3,31,3325,0.57509,0.71325
4,31,3325,0.67763,0.69378
6,31,3325,0.47762,0.42105
7,31,3325,0.59024,0.61578
2,32,660,0.58784,0.62454
3,32,660,0.54334,0.64053
4,32,660,0.70989,0.7757
6,32,660,0.56895,0.65577
7,32,660,NaN,NaN
2,33,1439,0.55917,0.62217
3,33,1439,0.55399,0.53542
4,33,1439,0.67694,0.55764
6,33,1439,0.55023,0.53499
7,33,1439,0.58545,0.51604
2,34,1439,0.57115,0.61467
3,34,1439,0.61331,0.58349
4,34,1439,0.49305,0.51777
6,34,1439,0.56821,0.60971
7,34,1439,0.52692,0.4012
2,35,3846,0.60295,0.75236
3,35,3846,0.55334,0.6494
4,35,3846,0.63499,0.59022
6,35,3846,0.57058,0.6132
7,35,3846,0.62446,0.56564
2,36,3212,0.62454,0.68655
3,36,3212,0.55049,0.68913
4,36,3212,0.51343,0.45896
6,36,3212,0.53388,0.5215
7,36,3212,0.61409,0.5769
2,37,180,0.59957,0.62031
3,37,180,0.58893,0.64556
4,37,180,0.67927,0.82317
6,37,180,0.59959,0.60541
7,37,180,0.61225,0.54289
2,38,659,0.55031,0.53412
3,38,659,0.57334,0.64317
4,38,659,0.64553,0.6642
6,38,659,0.562,0.67346
7,38,659,0.63942,0.58908
2,39,7642,NaN,NaN
3,39,7642,NaN,NaN
4,39,7642,NaN,NaN
6,39,7642,NaN,NaN
7,39,7642,NaN,NaN
2,40,7480,NaN,NaN
3,40,7480,NaN,NaN
4,40,7480,NaN,NaN
6,40,7480,NaN,NaN
7,40,7480,NaN,NaN
2,41,3530,0.63595,0.77052
3,41,3530,0.59583,0.65008
4,41,3530,0.62257,0.53602
6,41,3530,0.56054,0.63052
7,41,3530,NaN,NaN
2,42,1343,NaN,NaN
3,42,1343,NaN,NaN
4,42,1343,NaN,NaN
6,42,1343,NaN,NaN
7,42,1343,NaN,NaN
2,43,703,NaN,NaN
3,43,703,NaN,NaN
4,43,703,NaN,NaN
6,43,703,NaN,NaN
7,43,703,NaN,NaN
2,44,285,0.63152,0.69146
3,44,285,0.56917,0.75917
4,44,285,NaN,NaN
6,44,285,0.48053,0.63904
7,44,285,0.61609,0.65665
2,45,1050,0.60967,0.73178
3,45,1050,0.5143,0.64559
4,45,1050,0.43707,0.33567
6,45,1050,0.60142,0.61875
7,45,1050,0.68625,0.63895
2,46,414,0.6036,0.62126
3,46,414,0.60154,0.53233
4,46,414,NaN,NaN
6,46,414,NaN,NaN
7,46,414,NaN,NaN
2,47,7050,NaN,NaN
3,47,7050,NaN,NaN
4,47,7050,NaN,NaN
6,47,7050,NaN,NaN
7,47,7050,NaN,NaN
2,48,7271,NaN,NaN
3,48,7271,NaN,NaN
4,48,7271,NaN,NaN
6,48,7271,NaN,NaN
7,48,7271,NaN,NaN
2,49,7290,NaN,NaN
3,49,7290,NaN,NaN
4,49,7290,NaN,NaN
6,49,7290,NaN,NaN
7,49,7290,NaN,NaN
2,50,240,0.60309,0.64959
3,50,240,0.57844,0.58591
4,50,240,0.65497,0.71104
6,50,240,0.6099,0.69281
7,50,240,0.5405,0.40872
2,51,991,0.594,0.5488
3,51,991,0.58469,0.67261
4,51,991,0.71441,0.64379
6,51,991,0.54714,0.5318
7,51,991,0.59732,0.6246
2,52,539,0.54673,0.50661
3,52,539,NaN,NaN
4,52,539,0.44698,0.35551
6,52,539,0.4977,0.48446
7,52,539,0.66759,0.47044
2,53,489,0.61766,0.65055
3,53,489,0.59872,0.7333
4,53,489,0.73144,0.73621
6,53,489,0.52697,0.55008
7,53,489,0.61844,0.51156
2,54,308,NaN,NaN
3,54,308,NaN,NaN
4,54,308,NaN,NaN
6,54,308,NaN,NaN
7,54,308,NaN,NaN
2,55,1108,0.60644,0.75514
3,55,1108,NaN,NaN
4,55,1108,0.69094,0.64166
6,55,1108,0.58676,0.49911
7,55,1108,0.6092,0.57693
2,56,379,0.62445,0.78451
3,56,379,0.57881,0.70672
4,56,379,0.69917,0.74313
6,56,379,0.56518,0.52355
7,56,379,0.60473,0.63318
2,57,538,NaN,NaN
3,57,538,NaN,NaN
4,57,538,NaN,NaN
6,57,538,NaN,NaN
7,57,538,NaN,NaN
2,58,1278,0.58364,0.71896
3,58,1278,0.60012,0.62986
4,58,1278,0.63762,0.62675
6,58,1278,0.5483,0.54841
7,58,1278,0.57166,0.58635
2,59,492,0.58887,0.59083
3,59,492,0.57607,0.69054
4,59,492,NaN,NaN
6,59,492,0.55159,0.49687
7,59,492,0.52842,0.46948
2,60,1227,0.60354,0.62985
3,60,1227,0.49193,0.56839
4,60,1227,0.66497,0.83951
6,60,1227,0.54009,0.5828
7,60,1227,0.50728,0.54675
2,61,508,0.60092,0.72765
3,61,508,0.55429,0.56964
4,61,508,0.7341,0.71095
6,61,508,0.54118,0.5233
7,61,508,0.59894,0.605
2,62,2002,0.60356,0.65009
3,62,2002,0.62849,0.58138
4,62,2002,0.54802,0.50298
6,62,2002,0.52711,0.56256
7,62,2002,0.67388,0.5063
2,63,2997,0.55955,0.56112
3,63,2997,0.61586,0.6518
4,63,2997,0.62696,0.57255
6,63,2997,0.60207,0.56338
7,63,2997,0.63047,0.58405
2,64,1845,0.61521,0.64655
3,64,1845,0.58243,0.63939
4,64,1845,0.58329,0.57194
6,64,1845,0.49371,0.55376
7,64,1845,0.58587,0.53972
2,65,3705,0.60414,0.76225
3,65,3705,0.63109,0.62278
4,65,3705,0.58259,0.50989
6,65,3705,0.57006,0.59173
7,65,3705,0.58229,0.53858
2,66,551,0.58239,0.61637
3,66,551,0.57463,0.58356
4,66,551,0.6004,0.51199
6,66,551,0.54094,0.58394
7,66,551,0.59886,0.68623
2,67,3038,0.5859,0.66814
3,67,3038,0.54914,0.71411
4,67,3038,0.62679,0.59941
6,67,3038,0.54145,0.56508
7,67,3038,0.55948,0.55398
2,68,978,0.59559,0.64626
3,68,978,0.57079,0.6598
4,68,978,0.61993,0.57341
6,68,978,0.52336,0.58359
7,68,978,0.60978,0.62081
2,69,551,0.56438,0.55243
3,69,551,0.54503,0.59841
4,69,551,0.65316,0.67444
6,69,551,0.54304,0.50452
7,69,551,0.59936,0.59895
2,70,2085,0.6141,0.67261
3,70,2085,0.57621,0.64603
4,70,2085,0.56591,0.51464
6,70,2085,0.54098,0.51521
7,70,2085,0.58416,0.54104
2,71,1504,0.62589,0.68681
3,71,1504,0.57362,0.63619
4,71,1504,0.63785,0.60971
6,71,1504,0.55935,0.57626
7,71,1504,0.62881,0.5702
2,72,826,0.58049,0.62247
3,72,826,0.56833,0.60797
4,72,826,0.61234,0.62913
6,72,826,0.63492,0.6632
7,72,826,0.56631,0.52865
2,73,1590,0.58766,0.71148
3,73,1590,0.60114,0.64138
4,73,1590,0.61051,0.51855
6,73,1590,0.53381,0.51305
7,73,1590,0.59536,0.53393
2,74,610,0.61429,0.59013
3,74,610,NaN,NaN
4,74,610,NaN,NaN
6,74,610,0.51155,0.5823
7,74,610,0.65744,0.64679
2,75,1806,NaN,NaN
3,75,1806,NaN,NaN
4,75,1806,NaN,NaN
6,75,1806,NaN,NaN
7,75,1806,NaN,NaN
2,76,2076,0.58838,0.71585
3,76,2076,0.56239,0.68452
4,76,2076,0.63226,0.63417
6,76,2076,0.56535,0.59899
7,76,2076,0.56153,0.54234
2,77,2401,0.61965,0.70777
3,77,2401,0.55287,0.62583
4,77,2401,0.54644,0.54056
6,77,2401,0.59503,0.49934
7,77,2401,0.57831,0.54442
2,78,198,0.50675,0.44941
3,78,198,0.57668,0.57997
4,78,198,0.75457,0.8213
6,78,198,0.61133,0.55452
7,78,198,0.49372,0.48506
2,79,226,0.60023,0.59731
3,79,226,0.60949,0.64914
4,79,226,NaN,NaN
6,79,226,NaN,NaN
7,79,226,NaN,NaN
2,80,922,0.57058,0.61829
3,80,922,0.57691,0.6911
4,80,922,0.62876,0.60512
6,80,922,0.57475,0.59922
7,80,922,0.56517,0.5742
2,81,285,0.61159,0.58766
3,81,285,0.58287,0.48083
4,81,285,NaN,NaN
6,81,285,0.53034,0.54342
7,81,285,0.56804,0.56273
2,82,240,0.6251,0.66276
3,82,240,0.55984,0.53584
4,82,240,0.73083,0.80419
6,82,240,0.62366,0.62543
7,82,240,0.58758,0.46164
2,83,886,0.55798,0.63986
3,83,886,0.51111,0.60493
4,83,886,0.39669,0.48342
6,83,886,0.48389,0.45751
7,83,886,0.55427,0.55365
2,84,1757,0.57606,0.7711
3,84,1757,0.54066,0.63486
4,84,1757,0.65263,0.64523
6,84,1757,0.58816,0.57367
7,84,1757,0.55541,0.5809
2,85,958,0.57967,0.68111
3,85,958,0.54619,0.63402
4,85,958,0.61108,0.66306
6,85,958,0.5791,0.56967
7,85,958,0.59342,0.6288
2,86,631,0.59365,0.54505
3,86,631,0.53096,0.6071
4,86,631,0.72064,0.56972
6,86,631,0.4151,0.48513
7,86,631,0.56219,0.46401
2,87,344,0.67976,0.67312
3,87,344,0.59833,0.73806
4,87,344,NaN,NaN
6,87,344,0.55692,0.61118
7,87,344,0.59606,0.64138
2,88,271,0.60705,0.64032
3,88,271,NaN,NaN
4,88,271,0.71977,0.74953
6,88,271,0.71407,0.67821
7,88,271,0.58504,0.66145
2,90,725,0.55916,0.58578
3,90,725,0.63217,0.68673
4,90,725,0.57118,0.58814
6,90,725,0.52717,0.57842
7,90,725,0.61122,0.57586
2,91,571,0.54625,0.5849
3,91,571,0.49867,0.55768
4,91,571,0.744,0.60621
6,91,571,0.5152,0.57215
7,91,571,0.48148,0.44919
2,92,590,0.62694,0.67036
3,92,590,0.62896,0.67979
4,92,590,0.62999,0.64383
6,92,590,0.57219,0.62899
7,92,590,0.56584,0.57412
2,93,642,NaN,NaN
3,93,642,NaN,NaN
4,93,642,NaN,NaN
6,93,642,NaN,NaN
7,93,642,NaN,NaN
2,94,656,0.55595,0.49197
3,94,656,0.56994,0.47507
4,94,656,0.69747,0.59448
6,94,656,0.55256,0.54009
7,94,656,0.62269,0.50104
2,95,539,0.56814,0.49651
3,95,539,0.58517,0.60208
4,95,539,0.63695,0.56594
6,95,539,0.55507,0.58207
7,95,539,0.55164,0.6545
2,96,648,0.60439,0.58687
3,96,648,0.57521,0.67685
4,96,648,0.65874,0.70431
6,96,648,0.51176,0.46149
7,96,648,0.51792,0.44414
2,97,569,0.65397,0.61175
3,97,569,0.56288,0.60214
4,97,569,0.6885,0.71036
6,97,569,0.61961,0.65875
7,97,569,0.63445,0.60971
2,98,316,0.56503,0.51993
3,98,316,0.56471,0.63397
4,98,316,NaN,NaN
6,98,316,0.61479,0.58632
7,98,316,0.62193,0.65775
2,99,343,0.63829,0.55298
3,99,343,0.54444,0.50919
4,99,343,0.66533,0.68634
6,99,343,0.57156,0.54082
7,99,343,0.6015,0.58596
2,100,625,NaN,NaN
3,100,625,NaN,NaN
4,100,625,NaN,NaN
6,100,625,NaN,NaN
7,100,625,NaN,NaN
2,101,461,0.56112,0.66976
3,101,461,0.60295,0.69956
4,101,461,0.63937,0.69468
6,101,461,0.56875,0.57095
7,101,461,0.50981,0.55657
2,102,312,0.63338,0.65997
3,102,312,0.63929,0.62298
4,102,312,NaN,NaN
6,102,312,0.52407,0.57857
7,102,312,NaN,NaN
2,103,197,NaN,NaN
3,103,197,NaN,NaN
4,103,197,NaN,NaN
6,103,197,0.53156,0.45566
7,103,197,NaN,NaN
2,104,241,NaN,NaN
3,104,241,NaN,NaN
4,104,241,NaN,NaN
6,104,241,NaN,NaN
7,104,241,NaN,NaN
2,105,273,NaN,NaN
3,105,273,NaN,NaN
4,105,273,NaN,NaN
6,105,273,0.47483,0.41201
7,105,273,NaN,NaN
2,106,465,0.60134,0.71229
3,106,465,0.51035,0.57245
4,106,465,0.65823,0.61203
6,106,465,0.57786,0.53563
7,106,465,0.52336,0.4805
2,107,227,NaN,NaN
3,107,227,NaN,NaN
4,107,227,NaN,NaN
6,107,227,NaN,NaN
7,107,227,NaN,NaN
2,108,194,0.6237,0.58747
3,108,194,0.57016,0.61872
4,108,194,0.68565,0.76453
6,108,194,0.55109,0.57446
7,108,194,0.58014,0.65896
2,109,504,0.58195,0.59962
3,109,504,0.56757,0.624
4,109,504,0.64674,0.63433
6,109,504,0.53653,0.57252
7,109,504,0.551,0.53424
2,110,331,0.54176,0.55049
3,110,331,0.59777,0.69015
4,110,331,0.65592,0.69622
6,110,331,0.56811,0.58553
7,110,331,0.58509,0.58823
2,111,435,0.56419,0.72304
3,111,435,0.60407,0.5432
4,111,435,0.62221,0.61421
6,111,435,0.5353,0.54806
7,111,435,0.56198,0.6578
2,112,7046,0.64409,0.83218
3,112,7046,0.54033,0.5454
4,112,7046,0.63066,0.65238
6,112,7046,0.58676,0.61316
7,112,7046,0.46766,0.44176
2,113,7172,0.59952,0.71805
3,113,7172,0.60535,0.65259
4,113,7172,0.63335,0.63383
6,113,7172,0.66092,0.73531
7,113,7172,0.68968,0.69054
2,114,8034,0.66396,0.62494
3,114,8034,0.60231,0.67485
4,114,8034,0.62348,0.53175
6,114,8034,0.58409,0.64124
7,114,8034,0.61616,0.53668
2,115,475,0.60825,0.5658
3,115,475,0.52476,0.65687
4,115,475,0.70519,0.73441
6,115,475,0.50718,0.51164
7,115,475,0.61198,0.57109
2,116,1468,0.6158,0.80455
3,116,1468,0.54808,0.62403
4,116,1468,0.62584,0.5489
6,116,1468,0.52123,0.52252
7,116,1468,0.63716,0.52072
2,117,423,0.61777,0.5042
3,117,423,0.63519,0.58051
4,117,423,0.68699,0.65934
6,117,423,0.63976,0.61566
7,117,423,0.60574,0.6226
2,118,252,0.6417,0.69434
3,118,252,0.61676,0.59143
4,118,252,NaN,NaN
6,118,252,0.54323,0.45039
7,118,252,0.57467,0.51725
2,119,321,0.56159,0.76361
3,119,321,0.54476,0.58402
4,119,321,0.63797,0.82398
6,119,321,0.6157,0.61436
7,119,321,0.52059,0.53723
2,120,295,0.616,0.63604
3,120,295,0.59815,0.64066
4,120,295,0.69795,0.7467
6,120,295,0.51216,0.60961
7,120,295,0.60176,0.59602
2,121,343,0.64202,0.68052
3,121,343,0.55703,0.66444
4,121,343,NaN,NaN
6,121,343,0.57378,0.60807
7,121,343,0.55175,0.66587
2,122,7196,0.5783,0.72092
3,122,7196,0.58286,0.60282
4,122,7196,0.58376,0.48154
6,122,7196,0.49488,0.52331
7,122,7196,0.61507,0.58442