participant ID,Age group,Precision,Seen Feist,Seen Plane,Seen Fallon,Seen Rube,Seen Pentatonix,Seen Dogs,Seen Science
6,adult,1.535714286,2,2,2,2,2,1,2
7,adult,1.585714286,2,1,1,1,2,1,2
9,adult,1.25,2,2,2,2,2,2,2
10,adult,NaN,2,2,2,2,2,2,2
11,adult,1.342857143,2,2,2,2,1,2,2
12,adult,1.392857143,2,2,1,2,1,2,2
13,adult,1.378571429,1,1,1,1,1,1,1
14,adult,1.435714286,2,2,1,2,2,2,2
15,adult,1.628571429,2,2,2,2,2,2,2
16,adult,NaN,2,2,2,3,2,2,2
17,adult,1.985714286,2,2,2,2,2,2,2
18,adult,1.357142857,2,1,2,2,2,2,2
19,adult,1.15,2,2,2,2,2,2,2
20,adult,1.7,2,2,2,2,2,2,2
21,adult,1.628571429,2,2,1,2,2,2,2
22,adult,1.278571429,2,2,2,2,2,2,2
23,adult,1.535714286,2,2,2,2,1,2,3
24,adult,1.235714286,3,3,3,3,3,3,3
25,8-10 y,1.3,2,2,2,2,2,2,2
26,4-6 y,1.828571429,2,2,2,2,2,2,2
27,8-10 y,1.614285714,2,2,3,2,2,2,2
28,4-6 y,1.933333333,2,2,2,2,2,2,2
29,8-10 y,2.042857143,2,2,2,2,2,2,2
30,8-10 y,1.685714286,2,2,2,2,2,2,2
31,8-10 y,1.678571429,2,2,3,2,2,2,3
32,1.5-2 y,2.375,2,2,2,2,2,2,2
33,1.5-2 y,1.916666667,2,2,1,2,2,2,2
34,2-4 y,1.635714286,2,2,2,2,2,2,2
35,8-10 y,1.414285714,2,2,2,2,2,2,2
36,8-10 y,1.507142857,2,2,2,2,2,2,2
37,.5-1 y,1.485714286,1,2,1,2,1,2,2
38,1.5-2 y,1.407142857,2,2,2,2,2,2,2
39,audio,NaN,2,2,3,2,2,2,2
40,audio,NaN,2,1,,2,,2,2
41,8-10 y,1.933333333,2,2,2,3,2,2,2
42,2-4 y,NaN,2,2,2,2,2,2,2
43,1.5-2 y,NaN,,,,,,,
44,.5-1 y,1.816666667,3,2,1,2,1,2,2
45,2-4 y,1.814285714,3,2,1,2,1,2,2
46,1-1.5 y,1.4,1,2,1,2,2,2,2
47,audio,NaN,2,1,2,2,2,2,2
48,audio,NaN,2,2,2,2,2,2,2
49,audio,NaN,2,2,2,2,,2,2
50,.5-1 y,1.616666667,2,2,2,2,2,2,2
51,2-4 y,1.428571429,2,2,2,2,2,2,2
52,1-1.5 y,3.025,2,2,2,2,2,2,2
53,1-1.5 y,1.292857143,2,2,2,2,2,2,2
54,.5-1 y,NaN,2,2,2,2,2,2,2
55,2-4 y,1.766666667,2,2,2,2,2,2,2
56,1-1.5 y,1.728571429,2,2,2,2,2,2,2
57,1-1.5 y,NaN,3,2,3,2,2,2,2
58,2-4 y,1.535714286,3,2,3,2,2,2,2
59,1-1.5 y,1.62,2,2,2,2,2,2,2
60,2-4 y,1.778571429,2,2,2,2,2,2,2
61,1-1.5 y,1.378571429,2,2,2,2,2,2,2
62,4-6 y,1.442857143,2,2,2,2,2,2,2
63,8-10 y,1.5,2,2,2,2,2,2,2
64,4-6 y,1.607142857,1,2,1,2,2,1,2
65,8-10 y,1.4,2,2,2,2,2,2,2
66,1.5-2 y,1.564285714,1,2,1,2,2,2,2
67,8-10 y,1.442857143,2,2,2,3,2,2,3
68,2-4 y,1.957142857,2,2,2,2,2,2,2
69,1.5-2 y,1.535714286,2,2,2,2,2,2,2
70,4-6 y,1.571428571,2,2,2,2,2,2,2
71,4-6 y,1.728571429,2,2,2,2,2,2,2
72,2-4 y,1.942857143,2,3,2,3,2,2,2
73,4-6 y,1.507142857,2,1,2,2,1,3,2
74,1.5-2 y,1.81,1,2,2,2,2,2,2
75,4-6 y,NaN,1,2,2,2,2,2,2
76,4-6 y,1.178571429,2,2,2,2,2,2,2
77,4-6 y,1.514285714,2,2,2,2,2,2,2
78,.5-1 y,3.45,2,2,2,2,2,2,2
79,.5-1 y,4.89,2,2,2,2,2,2,2
80,2-4 y,1.464285714,2,2,2,2,2,2,2
81,.5-1 y,2.68,2,2,2,2,1,2,2
82,.5-1 y,2.141666667,2,2,2,2,2,2,2
83,2-4 y,1.864285714,1,2,2,2,1,2,2
84,4-6 y,2.635714286,1,2,2,2,2,2,2
85,2-4 y,1.692857143,2,2,2,2,2,2,2
86,1.5-2 y,1.871428571,2,2,2,2,2,2,2
87,.5-1 y,1.325,1,2,2,2,1,2,2
88,.5-1 y,1.25,2,2,2,2,2,2,2
90,1.5-2 y,1.314285714,2,2,2,2,2,2,2
91,1.5-2 y,1.4,2,2,2,2,2,2,2
92,1.5-2 y,1.628571429,2,2,2,2,2,2,2
93,1.5-2 y,NaN,2,2,2,2,2,2,2
94,1.5-2 y,2.128571429,2,2,2,2,2,2,2
95,1-1.5 y,1.707142857,2,2,2,2,2,2,2
96,1.5-2 y,1.428571429,2,2,2,2,2,2,2
97,1.5-2 y,1.207142857,2,2,2,2,2,2,2
98,.5-1 y,2.125,2,2,2,2,2,2,2
99,.5-1 y,1.725,2,2,2,2,2,2,2
100,1.5-2 y,NaN,2,2,2,2,2,2,2
101,1-1.5 y,1.342857143,3,2,2,2,1,2,2
102,.5-1 y,1.7625,2,2,2,2,2,2,2
103,.5-1 y,1.35,2,2,2,2,2,2,2
104,.5-1 y,NaN,2,2,2,2,2,2,2
105,.5-1 y,1.25,2,2,2,2,2,2,2
106,1-1.5 y,1.471428571,2,2,2,2,2,2,2
107,.5-1 y,3.6,2,2,2,2,2,2,2
108,.5-1 y,4.1,2,2,2,2,2,2,2
109,1-1.5 y,1.357142857,2,2,2,2,2,2,2
110,.5-1 y,1.728571429,2,2,2,2,2,2,2
111,1-1.5 y,2,2,2,2,2,2,2,2
112,adult,1.292857143,2,2,1,2,2,1,2
113,adult,1.778571429,2,2,2,2,2,2,2
114,adult,1.678571429,2,2,2,2,2,2,2
115,1-1.5 y,1.714285714,2,2,2,2,2,2,2
116,4-6 y,1.585714286,3,2,2,2,2,2,2
117,1-1.5 y,1.635714286,2,2,2,2,2,2,2
118,.5-1 y,2.125,2,2,2,2,2,2,2
119,.5-1 y,1.557142857,2,2,2,2,2,2,2
120,.5-1 y,2.132142857,2,2,2,2,2,2,2
121,.5-1 y,1.525,2,2,2,2,2,2,2
122,adult,1.8,2,2,1,2,2,2,2